X (cm)	Y (cm)	Z
0.750000	2.250000	139.020782
0.600000	2.250000	142.726395
0.450000	2.250000	145.436859
0.300000	2.250000	147.286392
0.150000	2.250000	148.239059
-0.000000	2.250000	148.334442
-0.150000	2.250000	147.455582
-0.300000	2.250000	145.750137
-0.450000	2.250000	143.204590
-0.600000	2.250000	139.852188
-0.750000	2.250000	135.577011
-1.050000	2.100000	136.997330
-0.900000	2.100000	142.857346
-0.750000	2.100000	147.879898
-0.600000	2.100000	152.232391
-0.450000	2.100000	155.800369
-0.300000	2.100000	158.546463
-0.150000	2.100000	160.384552
0.000000	2.100000	161.295685
0.150000	2.100000	161.247116
0.300000	2.100000	160.249802
0.450000	2.100000	158.315735
0.600000	2.100000	155.434875
0.750000	2.100000	151.716614
0.900000	2.100000	147.134995
1.050000	2.100000	141.723923
1.350000	1.950000	139.805191
1.200000	1.950000	147.139191
1.050000	1.950000	153.609787
0.900000	1.950000	159.255585
0.750000	1.950000	164.124252
0.600000	1.950000	168.089828
0.450000	1.950000	171.169907
0.300000	1.950000	173.238083
0.150000	1.950000	174.303055
-0.000000	1.950000	174.352509
-0.150000	1.950000	173.384125
-0.300000	1.950000	171.414825
-0.450000	1.950000	168.498337
-0.600000	1.950000	164.642776
-0.750000	1.950000	159.933441
-0.900000	1.950000	154.519379
-1.050000	1.950000	148.414597
-1.200000	1.950000	141.592255
-1.350000	1.950000	133.976974
-1.500000	1.800000	136.118912
-1.350000	1.800000	144.565948
-1.200000	1.800000	152.424515
-1.050000	1.800000	159.604782
-0.900000	1.800000	166.116730
-0.750000	1.800000	171.962189
-0.600000	1.800000	176.966156
-0.450000	1.800000	181.005890
-0.300000	1.800000	184.128876
-0.150000	1.800000	186.213974
0.000000	1.800000	187.249298
0.150000	1.800000	187.209198
0.300000	1.800000	186.075241
0.450000	1.800000	183.895935
0.600000	1.800000	180.651917
0.750000	1.800000	176.465866
0.900000	1.800000	171.317719
1.050000	1.800000	165.310226
1.200000	1.800000	158.488174
1.350000	1.800000	151.021820
1.500000	1.800000	142.762421
1.650000	1.650000	143.977859
1.500000	1.650000	152.975708
1.350000	1.650000	161.603851
1.200000	1.650000	169.426422
1.050000	1.650000	176.710358
0.900000	1.650000	183.000504
0.750000	1.650000	188.443665
0.600000	1.650000	192.860748
0.450000	1.650000	196.277222
0.300000	1.650000	198.577927
0.150000	1.650000	199.778412
-0.000000	1.650000	199.838242
-0.150000	1.650000	198.774139
-0.300000	1.650000	196.591583
-0.450000	1.650000	193.322418
-0.600000	1.650000	189.033722
-0.750000	1.650000	183.760345
-0.900000	1.650000	177.626297
-1.050000	1.650000	170.672516
-1.200000	1.650000	163.096420
-1.350000	1.650000	154.824310
-1.500000	1.650000	145.952881
-1.650000	1.650000	136.678894
-1.800000	1.500000	135.394974
-1.650000	1.500000	145.412888
-1.500000	1.500000	155.202682
-1.350000	1.500000	164.522751
-1.200000	1.500000	173.226196
-1.050000	1.500000	181.070267
-0.900000	1.500000	188.423096
-0.750000	1.500000	194.885712
-0.600000	1.500000	200.379272
-0.450000	1.500000	204.817230
-0.300000	1.500000	208.206619
-0.150000	1.500000	210.468109
0.000000	1.500000	211.573074
0.150000	1.500000	211.524582
0.300000	1.500000	210.294266
0.450000	1.500000	207.937653
0.600000	1.500000	204.406158
0.750000	1.500000	199.834915
0.900000	1.500000	194.154266
1.050000	1.500000	187.578369
1.200000	1.500000	180.048996
1.350000	1.500000	171.790741
1.500000	1.500000	162.782974
1.650000	1.500000	153.341507
1.800000	1.500000	143.151093
1.950000	1.350000	140.434967
1.800000	1.350000	151.418304
1.650000	1.350000	161.975800
1.500000	1.350000	171.772873
1.350000	1.350000	181.216110
1.200000	1.350000	189.820633
1.050000	1.350000	197.703094
0.900000	1.350000	204.481995
0.750000	1.350000	210.336212
0.600000	1.350000	215.024872
0.450000	1.350000	218.666412
0.300000	1.350000	221.112228
0.150000	1.350000	222.389359
-0.000000	1.350000	222.458176
-0.150000	1.350000	221.346069
-0.300000	1.350000	219.019608
-0.450000	1.350000	215.536789
-0.600000	1.350000	210.966965
-0.750000	1.350000	205.317703
-0.900000	1.350000	198.661743
-1.050000	1.350000	191.015778
-1.200000	1.350000	182.625885
-1.350000	1.350000	173.700455
-1.500000	1.350000	163.986893
-1.650000	1.350000	153.715851
-1.800000	1.350000	143.153122
-1.950000	1.350000	132.583603
-1.950000	1.200000	139.393921
-1.800000	1.200000	150.492218
-1.650000	1.200000	161.523972
-1.500000	1.200000	172.174805
-1.350000	1.200000	182.253601
-1.200000	1.200000	191.473358
-1.050000	1.200000	200.190338
-0.900000	1.200000	208.042648
-0.750000	1.200000	214.924194
-0.600000	1.200000	220.709137
-0.450000	1.200000	225.405548
-0.300000	1.200000	228.969360
-0.150000	1.200000	231.357254
0.000000	1.200000	232.504791
0.150000	1.200000	232.431885
0.300000	1.200000	231.138275
0.450000	1.200000	228.626251
0.600000	1.200000	224.926102
0.750000	1.200000	220.078323
0.900000	1.200000	214.118073
1.050000	1.200000	207.113815
1.200000	1.200000	199.086487
1.350000	1.200000	190.147217
1.500000	1.200000	180.496994
1.650000	1.200000	170.133286
1.800000	1.200000	159.303360
1.950000	1.200000	148.067490
2.100000	1.050000	142.816681
1.950000	1.050000	154.722427
1.800000	1.050000	166.313568
1.650000	1.050000	177.561188
1.500000	1.050000	188.209534
1.350000	1.050000	198.197052
1.200000	1.050000	207.374023
1.050000	1.050000	215.564133
0.900000	1.050000	222.757034
0.750000	1.050000	228.838013
0.600000	1.050000	233.795731
0.450000	1.050000	237.568329
0.300000	1.050000	240.151443
0.150000	1.050000	241.477081
-0.000000	1.050000	241.568161
-0.150000	1.050000	240.414093
-0.300000	1.050000	238.025848
-0.450000	1.050000	234.387299
-0.600000	1.050000	229.584885
-0.750000	1.050000	223.650467
-0.900000	1.050000	216.648346
-1.050000	1.050000	208.626663
-1.200000	1.050000	199.681030
-1.350000	1.050000	190.024414
-1.500000	1.050000	179.637970
-1.650000	1.050000	168.781631
-1.800000	1.050000	157.279556
-1.950000	1.050000	145.702545
-2.100000	1.050000	134.416962
-2.100000	0.900000	139.364578
-1.950000	0.900000	151.322723
-1.800000	0.900000	163.320297
-1.650000	0.900000	175.102631
-1.500000	0.900000	186.210403
-1.350000	0.900000	196.910522
-1.200000	0.900000	206.820160
-1.050000	0.900000	215.932129
-0.900000	0.900000	224.120407
-0.750000	0.900000	231.295776
-0.600000	0.900000	237.339813
-0.450000	0.900000	242.201202
-0.300000	0.900000	245.900513
-0.150000	0.900000	248.334808
0.000000	0.900000	249.517365
0.150000	0.900000	249.428802
0.300000	0.900000	248.068558
0.450000	0.900000	245.439423
0.600000	0.900000	241.625275
0.750000	0.900000	236.577393
0.900000	0.900000	230.407181
1.050000	0.900000	223.055420
1.200000	0.900000	214.791473
1.350000	0.900000	205.374969
1.500000	0.900000	195.263367
1.650000	0.900000	184.239304
1.800000	0.900000	172.667999
1.950000	0.900000	160.806976
2.100000	0.900000	148.503235
2.250000	0.750000	140.392181
2.100000	0.750000	153.198029
1.950000	0.750000	165.831787
1.800000	0.750000	177.906693
1.650000	0.750000	189.829208
1.500000	0.750000	201.056229
1.350000	0.750000	211.361664
1.200000	0.750000	220.906860
1.050000	0.750000	229.364304
0.900000	0.750000	236.787643
0.750000	0.750000	243.043991
0.600000	0.750000	248.156052
0.450000	0.750000	252.066895
0.300000	0.750000	254.754547
0.150000	0.750000	256.173553
-0.000000	0.750000	256.278076
-0.150000	0.750000	255.096832
-0.300000	0.750000	252.612015
-0.450000	0.750000	248.904297
-0.600000	0.750000	243.950684
-0.750000	0.750000	237.841217
-0.900000	0.750000	230.576248
-1.050000	0.750000	222.240845
-1.200000	0.750000	212.946777
-1.350000	0.750000	202.827637
-1.500000	0.750000	191.888016
-1.650000	0.750000	180.591263
-1.800000	0.750000	168.522415
-1.950000	0.750000	156.203125
-2.100000	0.750000	143.795898
-2.250000	0.600000	135.386871
-2.100000	0.600000	147.532486
-1.950000	0.600000	160.286819
-1.800000	0.600000	172.820648
-1.650000	0.600000	185.030533
-1.500000	0.600000	196.598770
-1.350000	0.600000	207.705719
-1.200000	0.600000	217.977783
-1.050000	0.600000	227.381882
-0.900000	0.600000	235.839523
-0.750000	0.600000	243.226105
-0.600000	0.600000	249.410492
-0.450000	0.600000	254.429962
-0.300000	0.600000	258.233673
-0.150000	0.600000	260.774475
0.000000	0.600000	261.991180
0.150000	0.600000	261.875214
0.300000	0.600000	260.427185
0.450000	0.600000	257.691315
0.600000	0.600000	253.687057
0.750000	0.600000	248.507050
0.900000	0.600000	242.175171
1.050000	0.600000	234.668976
1.200000	0.600000	226.136795
1.350000	0.600000	216.511185
1.500000	0.600000	206.041382
1.650000	0.600000	194.675751
1.800000	0.600000	182.658340
1.950000	0.600000	170.197601
2.100000	0.600000	157.423355
2.250000	0.600000	144.430878
2.250000	0.450000	147.439850
2.100000	0.450000	160.514832
1.950000	0.450000	173.476532
1.800000	0.450000	186.170593
1.650000	0.450000	198.317001
1.500000	0.450000	209.782547
1.350000	0.450000	220.363113
1.200000	0.450000	230.065155
1.050000	0.450000	238.696335
0.900000	0.450000	246.264008
0.750000	0.450000	252.685349
0.600000	0.450000	257.961639
0.450000	0.450000	262.047119
0.300000	0.450000	264.874817
0.150000	0.450000	266.358887
-0.000000	0.450000	266.494415
-0.150000	0.450000	265.271301
-0.300000	0.450000	262.680878
-0.450000	0.450000	258.827911
-0.600000	0.450000	253.721024
-0.750000	0.450000	247.460052
-0.900000	0.450000	240.038696
-1.050000	0.450000	231.509201
-1.200000	0.450000	221.990555
-1.350000	0.450000	211.621170
-1.500000	0.450000	200.318863
-1.650000	0.450000	188.650864
-1.800000	0.450000	176.202744
-1.950000	0.450000	163.470352
-2.100000	0.450000	150.494659
-2.250000	0.450000	137.995651
-2.250000	0.300000	139.808258
-2.100000	0.300000	152.637482
