X (cm)	Y (cm)	Z
0.750000	2.250000	49.415859
0.600000	2.250000	53.212696
0.450000	2.250000	56.941700
0.300000	2.250000	60.815895
0.150000	2.250000	64.848480
-0.000000	2.250000	69.014458
-0.150000	2.250000	73.334854
-0.300000	2.250000	77.690140
-0.450000	2.250000	81.988274
-0.600000	2.250000	86.084816
-0.750000	2.250000	89.668221
-1.050000	2.100000	112.395584
-0.900000	2.100000	108.650070
-0.750000	2.100000	104.271469
-0.600000	2.100000	99.432671
-0.450000	2.100000	94.405136
-0.300000	2.100000	89.263771
-0.150000	2.100000	84.014626
0.000000	2.100000	78.883667
0.150000	2.100000	73.853317
0.300000	2.100000	69.029839
0.450000	2.100000	64.432190
0.600000	2.100000	60.086395
0.750000	2.100000	56.005108
0.900000	2.100000	52.134136
1.050000	2.100000	48.344158
1.350000	1.950000	46.329266
1.200000	1.950000	50.075329
1.050000	1.950000	54.048531
0.900000	1.950000	58.248615
0.750000	1.950000	62.770287
0.600000	1.950000	67.611588
0.450000	1.950000	72.797997
0.300000	1.950000	78.321465
0.150000	1.950000	84.077232
-0.000000	1.950000	90.062668
-0.150000	1.950000	96.093750
-0.300000	1.950000	102.284630
-0.450000	1.950000	108.407516
-0.600000	1.950000	114.530624
-0.750000	1.950000	120.416298
-0.900000	1.950000	125.993835
-1.050000	1.950000	130.870941
-1.200000	1.950000	134.927002
-1.350000	1.950000	137.127823
-1.500000	1.800000	163.206177
-1.350000	1.800000	161.168060
-1.200000	1.800000	157.322479
-1.050000	1.800000	152.437286
-0.900000	1.800000	146.343353
-0.750000	1.800000	139.530304
-0.600000	1.800000	132.352249
-0.450000	1.800000	124.863083
-0.300000	1.800000	117.351540
-0.150000	1.800000	109.866043
0.000000	1.800000	102.624893
0.150000	1.800000	95.604790
0.300000	1.800000	88.851364
0.450000	1.800000	82.297989
0.600000	1.800000	76.140221
0.750000	1.800000	70.358200
0.900000	1.800000	65.005104
1.050000	1.800000	60.089813
1.200000	1.800000	55.519356
1.350000	1.800000	51.305828
1.500000	1.800000	47.221264
1.650000	1.650000	47.754116
1.500000	1.650000	51.969887
1.350000	1.650000	56.499866
1.200000	1.650000	61.324524
1.050000	1.650000	66.692406
0.900000	1.650000	72.504494
0.750000	1.650000	78.835098
0.600000	1.650000	85.663528
0.450000	1.650000	92.889496
0.300000	1.650000	100.516014
0.150000	1.650000	108.517776
-0.000000	1.650000	117.034561
-0.150000	1.650000	125.855392
-0.300000	1.650000	135.021240
-0.450000	1.650000	144.218582
-0.600000	1.650000	153.462723
-0.750000	1.650000	162.205261
-0.900000	1.650000	170.415054
-1.050000	1.650000	177.836319
-1.200000	1.650000	184.037872
-1.350000	1.650000	188.728806
-1.500000	1.650000	191.783524
-1.650000	1.650000	192.425903
-1.800000	1.500000	223.969818
-1.650000	1.500000	225.891815
-1.500000	1.500000	224.678131
-1.350000	1.500000	221.017624
-1.200000	1.500000	215.146759
-1.050000	1.500000	207.449005
-0.900000	1.500000	198.183990
-0.750000	1.500000	188.069611
-0.600000	1.500000	177.258408
-0.450000	1.500000	166.219131
-0.300000	1.500000	155.064957
-0.150000	1.500000	143.960541
0.000000	1.500000	133.150360
0.150000	1.500000	122.902359
0.300000	1.500000	113.233032
0.450000	1.500000	104.258224
0.600000	1.500000	95.801147
0.750000	1.500000	88.006302
0.900000	1.500000	80.571732
1.050000	1.500000	73.795364
1.200000	1.500000	67.556320
1.350000	1.500000	61.943474
1.500000	1.500000	56.789742
1.650000	1.500000	52.099968
1.800000	1.500000	47.749680
1.950000	1.350000	46.704346
1.800000	1.350000	51.490276
1.650000	1.350000	56.315117
1.500000	1.350000	61.588562
1.350000	1.350000	67.493248
1.200000	1.350000	73.948555
1.050000	1.350000	81.143326
0.900000	1.350000	88.933464
0.750000	1.350000	97.374405
0.600000	1.350000	106.309410
0.450000	1.350000	116.266014
0.300000	1.350000	126.928871
0.150000	1.350000	138.519623
-0.000000	1.350000	150.774872
-0.150000	1.350000	163.600693
-0.300000	1.350000	176.893967
-0.450000	1.350000	190.484222
-0.600000	1.350000	204.157135
-0.750000	1.350000	217.543900
-0.900000	1.350000	229.987305
-1.050000	1.350000	241.353806
-1.200000	1.350000	250.798737
-1.350000	1.350000	258.072357
-1.500000	1.350000	262.617706
-1.650000	1.350000	264.147888
-1.800000	1.350000	262.319641
-1.950000	1.350000	255.760162
-1.950000	1.200000	298.454498
-1.800000	1.200000	304.707916
-1.650000	1.200000	306.949036
-1.500000	1.200000	305.212372
-1.350000	1.200000	299.701355
-1.200000	1.200000	290.863129
-1.050000	1.200000	279.205902
-0.900000	1.200000	265.311737
-0.750000	1.200000	249.873489
-0.600000	1.200000	233.642624
-0.450000	1.200000	217.195267
-0.300000	1.200000	200.630203
-0.150000	1.200000	184.599030
0.000000	1.200000	169.326813
0.150000	1.200000	154.960541
0.300000	1.200000	141.423019
0.450000	1.200000	128.800156
0.600000	1.200000	117.309753
