X (cm)	Y (cm)	Z
0.750000	2.250000	26.265213
0.600000	2.250000	28.159689
0.450000	2.250000	30.030207
0.300000	2.250000	32.007145
0.150000	2.250000	34.014011
-0.000000	2.250000	36.036934
-0.150000	2.250000	38.123787
-0.300000	2.250000	40.210609
-0.450000	2.250000	42.257038
-0.600000	2.250000	44.164894
-0.750000	2.250000	45.760857
-1.050000	2.100000	55.641029
-0.900000	2.100000	53.913288
-0.750000	2.100000	51.795399
-0.600000	2.100000	49.556656
-0.450000	2.100000	47.167236
-0.300000	2.100000	44.754547
-0.150000	2.100000	42.318359
0.000000	2.100000	39.897377
0.150000	2.100000	37.560314
0.300000	2.100000	35.255383
0.450000	2.100000	33.030113
0.600000	2.100000	30.885151
0.750000	2.100000	28.851757
0.900000	2.100000	26.901861
1.050000	2.100000	25.014830
1.350000	1.950000	23.304934
1.200000	1.950000	25.234440
1.050000	1.950000	27.160351
0.900000	1.950000	29.232113
0.750000	1.950000	31.404423
0.600000	1.950000	33.732033
0.450000	1.950000	36.175014
0.300000	1.950000	38.726604
0.150000	1.950000	41.365803
-0.000000	1.950000	44.085114
-0.150000	1.950000	46.863403
-0.300000	1.950000	49.739552
-0.450000	1.950000	52.580738
-0.600000	1.950000	55.427174
-0.750000	1.950000	58.081226
-0.900000	1.950000	60.643055
-1.050000	1.950000	62.879444
-1.200000	1.950000	64.706146
-1.350000	1.950000	65.452965
-1.500000	1.800000	75.402611
-1.350000	1.800000	74.537201
-1.200000	1.800000	72.887466
-1.050000	1.800000	70.696381
-0.900000	1.800000	68.077576
-0.750000	1.800000	64.976112
-0.600000	1.800000	61.877277
-0.450000	1.800000	58.598053
-0.300000	1.800000	55.272331
-0.150000	1.800000	51.915611
0.000000	1.800000	48.583351
0.150000	1.800000	45.478115
0.300000	1.800000	42.459515
0.450000	1.800000	39.534668
0.600000	1.800000	36.738663
0.750000	1.800000	34.150478
0.900000	1.800000	31.688416
1.050000	1.800000	29.373362
1.200000	1.800000	27.214560
1.350000	1.800000	25.162132
1.500000	1.800000	23.292444
1.650000	1.650000	23.031662
1.500000	1.650000	24.947315
1.350000	1.650000	27.012493
1.200000	1.650000	29.249563
1.050000	1.650000	31.644520
0.900000	1.650000	34.203720
0.750000	1.650000	36.999611
0.600000	1.650000	39.940498
0.450000	1.650000	43.062962
0.300000	1.650000	46.391903
0.150000	1.650000	49.878170
-0.000000	1.650000	53.556061
-0.150000	1.650000	57.312752
-0.300000	1.650000	61.248970
