X (cm)	Y (cm)	Z
0.750000	2.250000	126.713364
0.600000	2.250000	128.854858
0.450000	2.250000	129.882309
0.300000	2.250000	130.488251
0.150000	2.250000	130.803574
-0.000000	2.250000	130.850952
-0.150000	2.250000	130.635437
-0.300000	2.250000	130.150085
-0.450000	2.250000	129.481903
-0.600000	2.250000	128.067749
-0.750000	2.250000	125.226830
-1.050000	2.100000	126.982323
-0.900000	2.100000	129.360657
-0.750000	2.100000	130.817169
-0.600000	2.100000	131.921585
-0.450000	2.100000	132.749969
-0.300000	2.100000	133.348480
-0.150000	2.100000	133.712494
0.000000	2.100000	133.885986
0.150000	2.100000	133.859756
0.300000	2.100000	133.654205
0.450000	2.100000	133.232483
0.600000	2.100000	132.590363
0.750000	2.100000	131.673218
0.900000	2.100000	130.393021
1.050000	2.100000	128.363541
1.350000	1.950000	127.184349
1.200000	1.950000	130.350372
1.050000	1.950000	132.106049
0.900000	1.950000	133.411484
0.750000	1.950000	134.376007
0.600000	1.950000	135.092178
0.450000	1.950000	135.592422
0.300000	1.950000	135.911407
0.150000	1.950000	136.075699
-0.000000	1.950000	136.085922
-0.150000	1.950000	135.942047
-0.300000	1.950000	135.646072
-0.450000	1.950000	135.170197
-0.600000	1.950000	134.515579
-0.750000	1.950000	133.629608
-0.900000	1.950000	132.476471
-1.050000	1.950000	130.970047
-1.200000	1.950000	128.989227
-1.350000	1.950000	124.921768
-1.500000	1.800000	126.897316
-1.350000	1.800000	129.948807
-1.200000	1.800000	131.985626
-1.050000	1.800000	133.540787
-0.900000	1.800000	134.775818
-0.750000	1.800000	135.710419
-0.600000	1.800000	136.434021
-0.450000	1.800000	136.976196
-0.300000	1.800000	137.354156
-0.150000	1.800000	137.599716
0.000000	1.800000	137.715881
0.150000	1.800000	137.714310
0.300000	1.800000	137.597443
0.450000	1.800000	137.349152
0.600000	1.800000	136.957733
0.750000	1.800000	136.389572
0.900000	1.800000	135.617096
1.050000	1.800000	134.586060
1.200000	1.800000	133.221741
1.350000	1.800000	131.435013
1.500000	1.800000	128.740555
